id,builder,size_class,dx,dy,dz,mass,shards,container,capacity,cloth,light_fixture,base_color,secondary_color,friction,bounce
cd,cd,POCKET,0.12,0.002,0.12,0.02,3,0,3,0,0,d0d8e0,ffffff,0.6,0.1
cassette,cassette,POCKET,0.1,0.015,0.065,0.05,3,0,3,0,0,333333,ffffff,0.7,0.05
bill,bill,POCKET,0.156,0.002,0.066,0.01,3,0,3,0,0,8cbf80,406040,1.0,0.0
coin_jar,coin_jar,ONE_HAND,0.12,0.18,0.12,3.0,4,1,2,0,0,d8e8f0,a0a0a0,0.6,0.05
ring,ring,POCKET,0.025,0.01,0.025,0.01,3,0,3,0,0,f0d060,f0f0ff,0.6,0.2
watch,watch,POCKET,0.045,0.012,0.045,0.08,3,0,3,0,0,d0d0d8,333333,0.6,0.05
necklace,necklace,POCKET,0.14,0.01,0.14,0.05,3,0,3,0,0,f0d060,f0f0f0,0.9,0.0
trophy,trophy,ONE_HAND,0.2,0.35,0.12,1.5,4,0,3,0,0,f0c040,333333,0.7,0.05
statue,statue,TWO_HAND,0.3,0.8,0.3,15.0,5,0,3,0,0,d8d8d0,555555,0.8,0.02
bust,bust,ONE_HAND,0.3,0.45,0.25,8.0,5,0,3,0,0,e8e8e0,333333,0.8,0.02
globe,globe,ONE_HAND,0.35,0.45,0.35,2.0,4,0,3,0,0,3070c0,806040,0.7,0.1
skull,skull,ONE_HAND,0.16,0.2,0.2,0.8,4,0,3,0,0,f0ece0,333333,0.7,0.1
plant_pot,plant_pot,ONE_HAND,0.25,0.45,0.25,3.0,4,0,3,0,0,40a040,a05030,0.8,0.02
# ---- alive
hamster_cage,hamster_cage,ONE_HAND,0.45,0.3,0.3,2.0,4,1,2,0,0,d09040,8090a0,0.8,0.02
mouse,mouse,POCKET,0.05,0.04,0.09,0.05,3,0,3,0,0,888888,f0b0b0,0.9,0.1
fish_bowl,fish_bowl,ONE_HAND,0.3,0.3,0.3,4.0,5,0,3,0,0,f0a020,a0c0e0,0.5,0.05
bird_cage,bird_cage,ONE_HAND,0.35,0.5,0.35,2.0,4,1,1,0,0,40c040,d0b040,0.8,0.02
# ---- cloth
cloth,cloth,ONE_HAND,0.4,0.08,0.35,0.5,3,0,3,1,0,808080,333333,1.0,0.0
costume,costume,TWO_HAND,0.5,1.7,0.35,3.0,4,0,3,1,0,e03030,f0e0c0,1.0,0.0
hat,hat,ONE_HAND,0.3,0.15,0.3,0.3,3,0,3,1,0,333333,a02020,1.0,0.0
shoe,shoe,ONE_HAND,0.1,0.12,0.28,0.5,3,0,3,1,0,ffffff,333333,1.0,0.05
bag,bag,ONE_HAND,0.45,0.3,0.2,1.0,4,1,3,1,0,6a5030,c0a040,1.0,0.0
bag_dead,bag,TWO_HAND,0.62,0.44,0.32,6.0,4,1,6,1,0,343840,be9929,1.0,0.0
backpack,backpack,ONE_HAND,0.35,0.45,0.2,1.2,4,1,3,1,0,3050a0,333333,1.0,0.0
mannequin,mannequin,TWO_HAND,0.5,1.7,0.35,10.0,5,0,3,0,0,f0e8e0,cccccc,0.8,0.02
# ---- weapons / tools
gun_gag,gun_gag,ONE_HAND,0.04,0.15,0.22,0.6,4,0,3,0,0,333333,6a4a2a,0.7,0.05
knife,knife,ONE_HAND,0.03,0.03,0.28,0.2,3,0,3,0,0,cccccc,333333,0.7,0.05
bat,bat,ONE_HAND,0.07,0.85,0.07,1.0,4,0,3,0,0,c0a060,333333,0.7,0.1
sword,sword,TWO_HAND,0.12,1.0,0.04,1.5,4,0,3,0,0,cccccc,806040,0.7,0.05
hammer,hammer,ONE_HAND,0.1,0.3,0.03,0.8,3,0,3,0,0,806040,444444,0.8,0.02
wrench,wrench,ONE_HAND,0.08,0.3,0.02,0.6,3,0,3,0,0,888888,444444,0.7,0.05
drill,drill,ONE_HAND,0.06,0.22,0.25,1.5,4,0,3,0,0,40a040,333333,0.8,0.02
tape_roll,tape_roll,POCKET,0.1,0.05,0.1,0.2,3,0,3,0,0,888888,666666,0.9,0.05
plank,plank,TWO_HAND,0.12,0.025,1.2,2.0,4,0,3,0,0,b08a5a,8a6a40,0.8,0.05
nail_box,nail_box,POCKET,0.12,0.05,0.08,0.5,3,0,3,0,0,c0a060,888888,0.8,0.02
rag,rag,POCKET,0.15,0.03,0.15,0.1,3,0,3,1,0,c0b0a0,888888,1.0,0.0
sponge,sponge,POCKET,0.1,0.05,0.07,0.03,3,0,3,0,0,f0e040,40a040,1.0,0.3
broom,broom,TWO_HAND,0.3,1.3,0.06,1.0,4,0,3,0,0,c0a060,d8c060,0.8,0.05
mop,mop,TWO_HAND,0.2,1.4,0.2,1.2,4,0,3,0,0,888888,e0e0e0,0.8,0.05
flashlight,flashlight,POCKET,0.05,0.05,0.2,0.3,3,0,3,0,0,333333,888888,0.7,0.05
lockpick,lockpick,POCKET,0.01,0.005,0.12,0.01,3,0,3,0,0,888888,666666,0.7,0.05
lighter,lighter,POCKET,0.025,0.08,0.012,0.03,3,0,3,0,0,e03030,888888,0.7,0.05
# ---- toys / sport / music
toy_bear,toy_bear,ONE_HAND,0.25,0.35,0.2,0.5,3,0,3,1,0,b08050,333333,1.0,0.1
doll,doll,ONE_HAND,0.15,0.35,0.1,0.4,4,0,3,0,0,f0a0c0,e0c040,0.8,0.05
toy_car,toy_car,POCKET,0.12,0.05,0.06,0.15,4,0,3,0,0,e03030,333333,0.5,0.1
ball,ball,ONE_HAND,0.22,0.22,0.22,0.4,4,0,3,0,0,f0f0f0,333333,0.7,0.6
bicycle,bicycle,TWO_HAND,0.6,1.0,1.7,12.0,5,0,3,0,0,e03030,333333,0.8,0.05
tire,tire,TWO_HAND,0.65,0.22,0.65,9.0,4,0,3,0,0,222222,333333,0.9,0.4
skateboard,skateboard,ONE_HAND,0.2,0.1,0.8,2.5,4,0,3,0,0,40a0c0,dddddd,0.3,0.1
guitar,guitar,TWO_HAND,0.4,1.0,0.1,2.5,5,0,3,0,0,c08040,333333,0.7,0.05
drum,drum,ONE_HAND,0.35,0.2,0.35,3.0,4,0,3,0,0,c02020,cccccc,0.7,0.1
trumpet,trumpet,ONE_HAND,0.12,0.12,0.5,1.2,4,0,3,0,0,f0c040,cccccc,0.7,0.05
keyboard_music,keyboard_music,TWO_HAND,0.9,0.1,0.3,5.0,5,0,3,0,0,222222,ffffff,0.7,0.02
# ---- heavy / misc
engine,engine,TEAM,0.7,0.6,0.6,150.0,5,0,3,0,0,444444,888888,0.9,0.0
anvil,anvil,TEAM,0.5,0.3,0.25,60.0,4,0,3,0,0,333333,555555,0.9,0.0
dumbbell,dumbbell,ONE_HAND,0.4,0.15,0.15,10.0,4,0,3,0,0,333333,888888,0.8,0.02
pallet,pallet,TWO_HAND,1.2,0.14,0.8,20.0,5,0,3,0,0,b08a5a,8a6a40,0.9,0.0
brick,brick,ONE_HAND,0.25,0.065,0.12,2.5,4,0,3,0,0,a04030,888888,0.9,0.0
sink,sink,TWO_HAND,0.6,0.85,0.5,20.0,5,0,3,0,0,f0f0f0,cccccc,0.8,0.02
umbrella,umbrella,ONE_HAND,0.3,0.9,0.3,0.5,4,0,3,0,0,222222,666666,0.7,0.05
remote,remote,POCKET,0.05,0.02,0.18,0.1,3,0,3,0,0,222222,888888,0.7,0.05
typewriter,typewriter,TWO_HAND,0.4,0.25,0.35,9.0,5,0,3,0,0,222222,888888,0.8,0.02
sewing_machine,sewing_machine,TWO_HAND,0.45,0.3,0.2,12.0,5,0,3,0,0,222222,c0a040,0.8,0.02
# ---- heroes (builders draw them; scene stays empty)
hero_hamster,hamster_cage,ONE_HAND,0.45,0.3,0.3,2.5,4,1,2,0,0,e0a050,8090a0,0.8,0.02
hero_safe,safe,TEAM,0.55,0.7,0.55,90.0,4,1,4,0,0,2a3a2a,b0b0b8,0.9,0.0
hero_bag,bag,ONE_HAND,0.5,0.32,0.22,1.2,4,1,4,1,0,4a5a30,c0a040,1.0,0.0
hero_gag_gun,gun_gag,ONE_HAND,0.04,0.15,0.22,0.7,4,0,3,0,0,1a1a1a,7a4a2a,0.7,0.05
hero_plasma,tv_plasma,TWO_HAND,1.25,0.75,0.06,18.0,6,0,3,0,0,181820,303038,0.7,0.02
hero_costume_clown,costume,TWO_HAND,0.5,1.7,0.35,3.0,4,0,3,1,0,f03030,f0e0c0,1.0,0.0
hero_costume_unicorn,costume,TWO_HAND,0.5,1.7,0.35,3.0,4,0,3,1,0,f0f0f8,f080c0,1.0,0.0
# ---- shatter debris (code expects this id)
shard_piece,box_small,ONE_HAND,0.12,0.1,0.12,0.25,0,0,0,0,0,a6998c,736659,0.7,0.05

# ==== WAVE3 storage finds (procedural builders in ArchetypeMeshes)
toaster,toaster,ONE_HAND,0.28,0.18,0.18,1.8,5,0,3,0,0,c0c4c8,888888,0.7,0.05
blender,blender,ONE_HAND,0.2,0.4,0.2,2.2,5,0,3,0,0,222222,a0c8e0,0.7,0.05
coffee_maker,coffee_maker,ONE_HAND,0.28,0.35,0.22,2.5,4,0,3,0,0,101018,c0c0c8,0.8,0.02
snowglobe,snowglobe,POCKET,0.12,0.16,0.12,0.4,6,0,3,0,0,8a6a40,d0e8f8,0.5,0.05
vinyl,vinyl,ONE_HAND,0.3,0.02,0.3,0.25,3,0,3,0,0,e03030,101010,0.6,0.02
turntable,turntable,TWO_HAND,0.45,0.12,0.4,4.5,4,0,3,0,0,1a1a1a,c0a040,0.8,0.02
accordion,accordion,TWO_HAND,0.45,0.35,0.22,6.0,4,0,3,0,0,a02020,e8d0a0,0.8,0.02
harmonica,harmonica,POCKET,0.12,0.03,0.04,0.15,3,0,3,0,0,c0c0c8,222222,0.7,0.05
microscope,microscope,ONE_HAND,0.18,0.35,0.22,2.8,4,0,3,0,0,303038,a0a0a8,0.8,0.02
telescope,telescope,TWO_HAND,0.18,0.25,0.7,3.5,4,0,3,0,0,2a2a30,8a6a40,0.7,0.05
hairdryer,hairdryer,ONE_HAND,0.14,0.2,0.28,0.7,4,0,3,0,0,f0a0c0,333333,0.7,0.05
clothes_iron,clothes_iron,ONE_HAND,0.28,0.14,0.14,1.6,4,0,3,0,0,7090b0,333333,0.8,0.02
waffle_maker,waffle_maker,ONE_HAND,0.28,0.14,0.28,2.4,4,0,3,0,0,c03030,222222,0.8,0.02
juicer,juicer,ONE_HAND,0.2,0.28,0.2,1.8,5,0,3,0,0,f0f0f0,ff8020,0.7,0.05
gramophone,gramophone,TWO_HAND,0.4,0.45,0.4,8.0,5,0,3,0,0,6a4a28,c0a040,0.8,0.02
cash_register,cash_register,TWO_HAND,0.4,0.35,0.35,12.0,4,1,2,0,0,c02020,222222,0.9,0.0
abacus,abacus,ONE_HAND,0.35,0.22,0.08,0.8,4,0,3,0,0,8a5a30,d03030,0.7,0.05
hourglass,hourglass,ONE_HAND,0.12,0.28,0.12,0.5,6,0,3,0,0,6a4a28,e8d8a0,0.5,0.05
bowling_pin,bowling_pin,ONE_HAND,0.12,0.38,0.12,1.4,5,0,3,0,0,f0f0ee,d03030,0.6,0.1
helmet,helmet,ONE_HAND,0.28,0.22,0.28,1.2,4,0,3,0,0,2030a0,c0c0c0,0.8,0.05
megaphone,megaphone,ONE_HAND,0.22,0.18,0.4,1.0,4,0,3,0,0,f0a020,222222,0.7,0.05
aquarium,aquarium,TWO_HAND,0.55,0.35,0.3,6.0,7,0,3,0,0,404048,a0d0f0,0.5,0.02
rubber_duck,rubber_duck,POCKET,0.12,0.12,0.14,0.15,3,0,3,0,0,f0d020,f08020,0.8,0.15
lava_lamp,lava_lamp,ONE_HAND,0.14,0.4,0.14,1.1,5,0,3,0,1,303038,f040a0,0.6,0.05
crystal_ball,crystal_ball,ONE_HAND,0.18,0.22,0.18,1.0,6,0,3,0,0,6a4a28,d0e8f8,0.5,0.05
