fun_score,id_suggest,noun,adjective,context,shatter
96,haunted_ice_pack_novelty,ice pack novelty,haunted,still beeping,maybe
96,haunted_joy_buzzer_box,joy buzzer box,haunted,from a raid,maybe
96,haunted_parachute_toy,parachute toy,haunted,in a sock,maybe
96,haunted_parrot_perch,parrot perch,haunted,stolen then returned,maybe
96,haunted_pipe_rack,pipe rack,haunted,full of glitter,maybe
96,haunted_rice_cooker,rice cooker,haunted,in a sock,maybe
95,evidence_baggage_scale,baggage scale,evidence,full of glitter,maybe
95,evidence_breast_pump,breast pump,evidence,in a sock,maybe
95,evidence_cuckoo_nest_empty,cuckoo nest empty,evidence,stolen then returned,maybe
95,evidence_gopro_mount_only,gopro mount only,evidence,from a raid,maybe
95,evidence_megaphone,megaphone,evidence,wrapped in newspaper,maybe
95,evidence_napkin_rings,napkin rings,evidence,smelling of fish,maybe
95,evidence_treat_pouch,treat pouch,evidence,welded shut,maybe
95,evidence_vinyl_record,vinyl record,evidence,still beeping,maybe
95,gag_certificate_laminated,certificate laminated,gag,with a lawsuit,maybe
95,gag_mres_expired,MREs expired,gag,smelling of fish,maybe
95,gag_ventriloquist_dummy,ventriloquist dummy,gag,wrapped in newspaper,maybe
95,gag_water_pik,water pik,gag,with a lawsuit,maybe
95,haunted_bike_lock,bike lock,haunted,full of glitter,maybe
95,haunted_chiller_unit,chiller unit,haunted,with a lawsuit,maybe
95,haunted_cutlass_foam,cutlass foam,haunted,in a sock,maybe
95,haunted_feather_wand,feather wand,haunted,welded shut,maybe
95,haunted_hockey_puck_signed,hockey puck signed,haunted,still beeping,maybe
95,haunted_recorder_plastic,recorder plastic,haunted,labeled EVIDENCE,maybe
94,evidence_bulb_mesh_bag,bulb mesh bag,evidence,still beeping,maybe
94,evidence_donut_maker,donut maker,evidence,labeled EVIDENCE,maybe
94,evidence_egg_candler,egg candler,evidence,from a divorce,maybe
94,evidence_fake_dog_poop,fake dog poop,evidence,in a trash bag,maybe
94,evidence_gloves_boxing,gloves boxing,evidence,still beeping,maybe
94,evidence_ipod_classic,iPod classic,evidence,smelling of fish,maybe
94,evidence_knee_pads,knee pads,evidence,stolen then returned,maybe
94,evidence_recorder_plastic,recorder plastic,evidence,stolen then returned,maybe
94,evidence_scuba_mask,scuba mask,evidence,from a raid,maybe
94,evidence_soda_siphon,soda siphon,evidence,stolen then returned,maybe
94,evidence_stethoscope,stethoscope,evidence,full of glitter,maybe
94,evidence_taxidermy_squirrel,taxidermy squirrel,evidence,padlocked,maybe
94,evidence_thermometer_ear,thermometer ear,evidence,won at casino,maybe
94,gag_garage_opener,garage opener,gag,in a sock,maybe
94,gag_hubcap_chrome,hubcap chrome,gag,with a lawsuit,maybe
94,gag_pillow_form,pillow form,gag,labeled EVIDENCE,maybe
94,gag_rotary_phone,rotary phone,gag,from a divorce,maybe
94,gag_sandwich_press,sandwich press,gag,won at casino,maybe
94,gag_stink_bomb_pack,stink bomb pack,gag,in a sock,maybe
94,gag_toothbrush_holder,toothbrush holder,gag,in a sock,maybe
94,haunted_commode_chair,commode chair,haunted,from a raid,maybe
94,haunted_horseshoe_set,horseshoe set,haunted,from a raid,maybe
94,haunted_incense_skull,incense skull,haunted,full of glitter,maybe
94,haunted_lab_flask,lab flask,haunted,from a divorce,maybe
94,haunted_shower_radio,shower radio,haunted,from a raid,maybe
94,haunted_stencil_pack,stencil pack,haunted,from a divorce,maybe
94,haunted_tank_model,tank model,haunted,labeled EVIDENCE,maybe
94,limited_aquarium,aquarium,limited,with a lawsuit,yes
93,evidence_bird_swing,bird swing,evidence,won at casino,maybe
93,evidence_checkers_set,checkers set,evidence,welded shut,maybe
93,evidence_fever_strip,fever strip,evidence,from a divorce,maybe
93,evidence_onesie_mystery,onesie mystery,evidence,in a sock,maybe
93,evidence_slide_rule,slide rule,evidence,from a raid,maybe
93,evidence_snake_skin_shed,snake skin shed,evidence,in a sock,maybe
93,evidence_toilet_seat_gold,toilet seat gold,evidence,smelling of fish,maybe
93,gag_air_stone_pack,air stone pack,gag,in a sock,maybe
93,gag_atari_2600,Atari 2600,gag,from a raid,maybe
93,gag_bumper_sticker_sheet,bumper sticker sheet,gag,full of glitter,maybe
93,gag_crib_mobile,crib mobile,gag,still beeping,maybe
93,gag_dress_form,dress form,gag,welded shut,maybe
93,gag_embroidery_hoop,embroidery hoop,gag,welded shut,maybe
93,gag_lovey_missing_eye,lovey missing eye,gag,still beeping,maybe
93,gag_perfume_atomizer,perfume atomizer,gag,full of glitter,maybe
93,gag_rune_stones,rune stones,gag,from a divorce,maybe
93,gag_stroller_fold,stroller fold,gag,from a raid,maybe
93,haunted_exersaucer,exersaucer,haunted,smelling of fish,maybe
93,haunted_felt_board,felt board,haunted,from a divorce,maybe
93,haunted_grow_light,grow light,haunted,won at casino,maybe
93,haunted_heat_rock,heat rock,haunted,in a sock,maybe
93,haunted_knee_pads,knee pads,haunted,labeled EVIDENCE,maybe
93,haunted_lantern_camping,lantern camping,haunted,won at casino,maybe
93,haunted_marker_bin,marker bin,haunted,smelling of fish,maybe
93,haunted_music_stand,music stand,haunted,full of glitter,maybe
93,haunted_panini_press,panini press,haunted,smelling of fish,maybe
93,haunted_pull_tab_opener,pull-tab opener,haunted,smelling of fish,maybe
93,haunted_pumice_stone,pumice stone,haunted,still beeping,maybe
93,haunted_seat_belt_pet,seat belt pet,haunted,labeled EVIDENCE,maybe
93,haunted_trophy_spelling,trophy spelling,haunted,won at casino,maybe
93,haunted_whoopee_remote,whoopee remote,haunted,with a lawsuit,maybe
92,evidence_pressure_cooker,pressure cooker,evidence,in a sock,maybe
92,evidence_raclette_grill,raclette grill,evidence,welded shut,maybe
92,gag_baggage_scale,baggage scale,gag,stolen then returned,maybe
92,gag_beekeeping_veil,beekeeping veil,gag,labeled EVIDENCE,maybe
92,gag_inhaler_spacer,inhaler spacer,gag,labeled EVIDENCE,maybe
92,gag_ouija_planchette,ouija planchette,gag,smelling of fish,maybe
92,gag_puppet_theater,puppet theater,gag,won at casino,maybe
92,gag_sugar_caddy,sugar caddy,gag,still beeping,maybe
92,haunted_chuckit_launcher,chuckit launcher,haunted,stolen then returned,maybe
92,haunted_hose_reel,hose reel,haunted,still beeping,maybe
92,haunted_pager,pager,haunted,with a lawsuit,maybe
92,haunted_rc_helicopter,RC helicopter,haunted,from a divorce,maybe
92,haunted_smoke_alarm_chirp,smoke alarm chirp,haunted,still beeping,maybe
92,haunted_taxidermy_squirrel,taxidermy squirrel,haunted,from a fire sale,maybe
92,haunted_yearbook_signed,yearbook signed,haunted,still beeping,maybe
92,plastic_accordion,accordion,plastic,in a sock,maybe
91,burnt_fake_dog_poop,fake dog poop,burnt,stolen then returned,maybe
91,evidence_bike_lock,bike lock,evidence,labeled EVIDENCE,maybe
91,evidence_keg_tap,keg tap,evidence,in a sock,maybe
91,evidence_meat_grinder,meat grinder,evidence,stolen then returned,maybe
91,evidence_napkin_dispenser,napkin dispenser,evidence,stolen then returned,maybe
91,foreclosure_taxidermy_squirrel,taxidermy squirrel,foreclosure,with a lawsuit,maybe
91,gag_airbrush_kit,airbrush kit,gag,welded shut,maybe
91,gag_car_battery,car battery,gag,welded shut,maybe
91,gag_crepe_maker,crepe maker,gag,from a divorce,maybe
91,gag_crucifix_wall,crucifix wall,gag,won at casino,maybe
91,gag_lantern_railroad,lantern railroad,gag,in a sock,maybe
91,gag_mannequin_hand,mannequin hand,gag,from a raid,maybe
91,gag_straight_razor,straight razor,gag,welded shut,maybe
91,gag_syringe_prop,syringe prop,gag,from a raid,maybe
91,haunted_cricket_keeper,cricket keeper,haunted,welded shut,maybe
91,haunted_kaleidoscope,kaleidoscope,haunted,labeled EVIDENCE,maybe
91,haunted_ouija_board,ouija board,haunted,with the wrong remote,maybe
91,haunted_trunk_steamer,trunk steamer,haunted,from a divorce,maybe
91,limited_snow_globe,snow globe,limited,labeled EVIDENCE,yes
90,evidence_clown_nose_jar,clown nose jar,evidence,won at casino,maybe
90,evidence_hair_dryer,hair dryer,evidence,stolen then returned,maybe
90,evidence_sound_machine,sound machine,evidence,with a lawsuit,maybe
90,evidence_teleprompter_diy,teleprompter DIY,evidence,welded shut,maybe
90,gag_angle_grinder,angle grinder,gag,with a lawsuit,maybe
90,gag_ashtray_tower,ashtray tower,gag,smelling of fish,maybe
90,gag_hygrometer,hygrometer,gag,still beeping,maybe
90,gag_muzzle_soft,muzzle soft,gag,full of glitter,maybe
90,gag_time_clock,time clock,gag,labeled EVIDENCE,maybe
90,haunted_candle_sticks_brass,candle sticks brass,haunted,from a raid,maybe
90,haunted_cat_tree,cat tree,haunted,from a raid,maybe
90,haunted_cross_stitch_kit,cross stitch kit,haunted,from a divorce,maybe
90,haunted_hair_dryer,hair dryer,haunted,labeled EVIDENCE,maybe
90,haunted_hot_water_bottle,hot water bottle,haunted,stolen then returned,maybe
90,haunted_smoke_grenade_novelty,smoke grenade novelty,haunted,with a lawsuit,maybe
90,haunted_sweater_stone,sweater stone,haunted,still beeping,maybe
90,lab_hourglass,hourglass,lab,stolen then returned,yes
90,plastic_lava_lamp,lava lamp,plastic,from a raid,yes
90,school_ouija_board,ouija board,school,from a raid,maybe
90,signed_mascot_head,mascot head,signed,stolen then returned,maybe
89,evidence_buddha_fat,buddha fat,evidence,labeled EVIDENCE,maybe
89,evidence_ceiling_fan_blade,ceiling fan blade,evidence,smelling of fish,maybe
89,evidence_dentist_chair_lamp,dentist chair lamp,evidence,smelling of fish,yes
89,evidence_lawn_dart_banned,lawn dart banned,evidence,smelling of fish,maybe
89,evidence_light_meter,light meter,evidence,smelling of fish,maybe
89,evidence_music_stand,music stand,evidence,labeled EVIDENCE,maybe
89,evidence_watercolor_tin,watercolor tin,evidence,full of glitter,maybe
89,evidence_weave_poles,weave poles,evidence,won at casino,maybe
89,gag_aftershave_splash,aftershave splash,gag,with a lawsuit,maybe
89,gag_blacklight,blacklight,gag,in a sock,maybe
89,gag_champagne_flutes,champagne flutes,gag,from a divorce,maybe
89,gag_kendama,kendama,gag,in a sock,maybe
89,gag_kiln_mini,kiln mini,gag,still beeping,maybe
89,gag_metronome_windup,metronome windup,gag,smelling of fish,maybe
89,gag_mic_stand,mic stand,gag,from a divorce,maybe
89,gag_organ_pedal,organ pedal,gag,from a divorce,maybe
89,gag_suitcase_spinner_dead,suitcase spinner dead,gag,from a raid,maybe
89,gag_walkie_talkie,walkie-talkie,gag,smelling of fish,maybe
89,gag_waterproof_radio,waterproof radio,gag,stolen then returned,maybe
89,haunted_cabinet_speaker,cabinet speaker,haunted,in a sock,maybe
89,haunted_mascot_head,mascot head,haunted,with a dead battery,maybe
89,haunted_mask_gas_antique,mask gas antique,haunted,labeled EVIDENCE,maybe
89,haunted_test_tube_rack,test tube rack,haunted,smelling of fish,maybe
89,lab_ship_in_bottle,ship in bottle,lab,still beeping,maybe
89,limited_bedpan,bedpan,limited,with a lawsuit,maybe
89,rusty_fake_dog_poop,fake dog poop,rusty,full of glitter,maybe
89,rusty_taxidermy_squirrel,taxidermy squirrel,rusty,still beeping,maybe
89,signed_whoopee_cushion_pack,whoopee cushion pack,signed,smelling of fish,maybe
88,burnt_denture_cup,denture cup,burnt,won at casino,maybe
88,evidence_bottle_ship_broken,bottle ship broken,evidence,from a raid,maybe
88,evidence_croquet_mallet,croquet mallet,evidence,from a divorce,maybe
88,evidence_kaleidoscope,kaleidoscope,evidence,stolen then returned,maybe
88,evidence_mahjong_set,mahjong set,evidence,won at casino,maybe
88,evidence_newton_cradle,newton cradle,evidence,still beeping,maybe
88,evidence_wheelchair_fold,wheelchair fold,evidence,from a divorce,maybe
88,evidence_wind_vane_toy,wind vane toy,evidence,with a lawsuit,maybe
88,gag_blender,blender,gag,smelling of fish,maybe
88,gag_callus_grater,callus grater,gag,labeled EVIDENCE,maybe
88,gag_candelabra,candelabra,gag,stolen then returned,maybe
88,gag_crystal_cluster,crystal cluster,gag,glued shut,yes
88,gag_doorbell_wireless,doorbell wireless,gag,stolen then returned,maybe
88,gag_leash_retractable,leash retractable,gag,smelling of fish,maybe
88,gag_router_wood,router wood,gag,full of glitter,maybe
88,gag_shampoo_sample_bin,shampoo sample bin,gag,in a sock,maybe
88,gag_spray_paint_crate,spray paint crate,gag,won at casino,maybe
88,gag_torch_tiki,torch tiki,gag,welded shut,maybe
88,haunted_dice_fuzzy,dice fuzzy,haunted,stolen then returned,maybe
88,haunted_djembe,djembe,haunted,in a sock,maybe
88,haunted_harmonica,harmonica,haunted,full of sand,maybe
88,haunted_katana_display,katana display,haunted,with a lawsuit,maybe
88,haunted_padlock_collection,padlock collection,haunted,smelling of fish,maybe
88,haunted_rosary,rosary,haunted,from a divorce,maybe
88,haunted_seam_ripper_jar,seam ripper jar,haunted,won at casino,maybe
88,haunted_toasting_goblets,toasting goblets,haunted,full of glitter,maybe
88,haunted_typewriter_ribbon,typewriter ribbon,haunted,in a sock,maybe
88,haunted_unicycle,unicycle,haunted,from a divorce,maybe
87,evidence_booster_seat,booster seat,evidence,full of glitter,maybe
87,evidence_chicken_feeder,chicken feeder,evidence,won at casino,maybe
87,evidence_headrest_cover_stack,headrest cover stack,evidence,smelling of fish,maybe
87,evidence_ink_well,ink well,evidence,full of glitter,maybe
87,evidence_lathe_mini,lathe mini,evidence,still beeping,maybe
87,evidence_straw_dispenser,straw dispenser,evidence,in a sock,maybe
87,evidence_wax_seal_kit,wax seal kit,evidence,with a lawsuit,maybe
87,evidence_wrist_guards,wrist guards,evidence,from a raid,maybe
87,gag_bedpan,bedpan,gag,padlocked,maybe
87,gag_cake_topper_bride,cake topper bride,gag,won at casino,maybe
87,gag_cork_collection,cork collection,gag,still beeping,maybe
87,gag_dreamcatcher,dreamcatcher,gag,from a raid,maybe
87,gag_dress_form_adjustable,dress form adjustable,gag,from a raid,maybe
87,gag_gramophone,gramophone,gag,zip-tied,maybe
87,gag_gravel_vacuum,gravel vacuum,gag,smelling of fish,maybe
87,gag_model_airplane,model airplane,gag,won at casino,maybe
87,gag_seed_packets,seed packets,gag,full of glitter,maybe
87,gag_stilts_pair,stilts pair,gag,with a lawsuit,maybe
87,haunted_hacky_sack_jar,hacky sack jar,haunted,won at casino,maybe
87,haunted_mezuzah,mezuzah,haunted,smelling of fish,maybe
87,haunted_motion_sensor,motion sensor,haunted,from a raid,maybe
87,haunted_peak_flow_meter,peak flow meter,haunted,still beeping,maybe
87,haunted_protein_skimmer,protein skimmer,haunted,welded shut,maybe
87,haunted_punch_card_rack,punch card rack,haunted,still beeping,maybe
87,haunted_sandcastle_mold,sandcastle mold,haunted,stolen then returned,maybe
87,haunted_smoke_bombs_novelty,smoke bombs novelty,haunted,welded shut,maybe
87,haunted_squeaky_toy_flat,squeaky toy flat,haunted,in a sock,maybe
87,school_bowling_pin,bowling pin,school,still beeping,maybe
86,evidence_bundt_pan,bundt pan,evidence,full of glitter,maybe
86,evidence_chew_stick_pack,chew stick pack,evidence,from a raid,maybe
86,evidence_church_hymnal,church hymnal,evidence,labeled EVIDENCE,maybe
86,evidence_dat_tape,DAT tape,evidence,in a sock,maybe
86,evidence_magic_set_kids,magic set kids,evidence,still beeping,maybe
86,evidence_sugar_caddy,sugar caddy,evidence,welded shut,maybe
86,evidence_zipper_bag,zipper bag,evidence,smelling of fish,maybe
86,expired_cash_register,cash register,expired,smelling of fish,maybe
86,foreclosure_harmonica,harmonica,foreclosure,won at casino,maybe
86,gag_accordion,accordion,gag,labeled MOM,maybe
86,gag_drone_crashed,drone crashed,gag,welded shut,maybe
86,gag_hat_box_leather,hat box leather,gag,welded shut,maybe
86,gag_mess_kit,mess kit,gag,full of glitter,maybe
86,gag_ship_in_bottle,ship in bottle,gag,from a fire sale,maybe
86,gag_swamp_cooler,swamp cooler,gag,stolen then returned,maybe
86,haunted_bo_staff,bo staff,haunted,full of glitter,maybe
86,haunted_dashcam,dashcam,haunted,labeled EVIDENCE,maybe
86,haunted_donut_maker,donut maker,haunted,full of glitter,maybe
86,haunted_player_piano_roll,player piano roll,haunted,smelling of fish,maybe
86,haunted_razor_safety,razor safety,haunted,won at casino,maybe
86,haunted_ups_battery,UPS battery,haunted,won at casino,maybe
85,burnt_bedpan,bedpan,burnt,still beeping,maybe
85,evidence_bird_bath,bird bath,evidence,full of glitter,maybe
85,evidence_busy_board,busy board,evidence,full of glitter,maybe
85,evidence_cork_collection,cork collection,evidence,welded shut,maybe
85,evidence_dashcam,dashcam,evidence,stolen then returned,maybe
85,evidence_grow_journal,grow journal,evidence,from a raid,maybe
85,evidence_medical_dummy,medical dummy,evidence,with a lawsuit,maybe
85,evidence_placemat_set,placemat set,evidence,from a divorce,maybe
85,evidence_protractor_set,protractor set,evidence,welded shut,maybe
85,evidence_saxophone_dented,saxophone dented,evidence,in a sock,maybe
85,evidence_snake_drain,snake drain,evidence,from a divorce,maybe
85,evidence_toasting_goblets,toasting goblets,evidence,labeled EVIDENCE,maybe
85,gag_canvas_blank,canvas blank,gag,from a raid,maybe
85,gag_chain_and_lock,chain and lock,gag,from a divorce,maybe
85,gag_executive_toy,executive toy,gag,full of glitter,maybe
85,gag_game_boy,Game Boy,gag,stolen then returned,maybe
85,gag_human_anatomy_model,human anatomy model,gag,still beeping,maybe
85,gag_juggling_clubs,juggling clubs,gag,welded shut,maybe
85,gag_playpen,playpen,gag,won at casino,maybe
85,gag_raclette_grill,raclette grill,gag,still beeping,maybe
85,gag_softbox_stand,softbox stand,gag,stolen then returned,maybe
85,gag_surge_protector_fried,surge protector fried,gag,in a sock,maybe
85,haunted_cardboard_condo,cardboard condo,haunted,with a lawsuit,maybe
85,haunted_church_hymnal,church hymnal,haunted,full of glitter,maybe
85,haunted_citronella_bucket,citronella bucket,haunted,from a divorce,maybe
85,haunted_conditioner_gallon,conditioner gallon,haunted,won at casino,maybe
85,haunted_defibrillator_prop,defibrillator prop,haunted,welded shut,maybe
85,haunted_hat_box_tower,hat box tower,haunted,from a divorce,maybe
85,haunted_hotel_soap_crate,hotel soap crate,haunted,welded shut,maybe
85,haunted_slot_machine_bank,slot machine bank,haunted,with a lawsuit,maybe
85,haunted_window_ac_unit,window AC unit,haunted,from a raid,maybe
84,burnt_harmonica,harmonica,burnt,full of glitter,maybe
84,dedicated_rubber_chicken,rubber chicken,dedicated,labeled EVIDENCE,maybe
84,foreclosure_ventriloquist_dummy,ventriloquist dummy,foreclosure,stolen then returned,maybe
84,lab_aquarium_filter,aquarium filter,lab,won at casino,yes
84,school_toaster,toaster,school,won at casino,maybe
83,expired_fake_dog_poop,fake dog poop,expired,labeled EVIDENCE,maybe
83,signed_opera_glasses,opera glasses,signed,from a raid,yes
82,burnt_shot_glass_set,shot glass set,burnt,with a lawsuit,yes
82,evidence_heater_aquarium,heater aquarium,evidence,in a trash bag,yes
82,evidence_spyglass_brass,spyglass brass,evidence,glued shut,yes
82,lab_snow_globe,snow globe,lab,in a trash bag,yes
82,limited_pinball_backglass,pinball backglass,limited,full of glitter,yes
82,signed_gramophone,gramophone,signed,won at casino,maybe
81,foreclosure_opera_glasses,opera glasses,foreclosure,from a divorce,yes
81,limited_whoopee_cushion_pack,whoopee cushion pack,limited,welded shut,maybe
80,dedicated_aquarium,aquarium,dedicated,zip-tied,yes
80,plastic_pinball_backglass,pinball backglass,plastic,labeled EVIDENCE,yes
79,burnt_novelty_glasses,novelty glasses,burnt,welded shut,yes
79,evidence_card_shuffler,card shuffler,evidence,with no power cord,maybe
79,evidence_chuckit_launcher,chuckit launcher,evidence,wrapped in newspaper,maybe
79,evidence_cleats_muddy,cleats muddy,evidence,labeled DO NOT SELL,maybe
79,evidence_commode_chair,commode chair,evidence,glued shut,maybe
79,evidence_crochet_hook_set,crochet hook set,evidence,zip-tied,maybe
79,evidence_drum_pad,drum pad,evidence,wrapped in newspaper,maybe
79,evidence_duffel_army,duffel army,evidence,labeled MOM,maybe
79,evidence_joy_buzzer_box,joy buzzer box,evidence,glued shut,maybe
79,evidence_lantern_railroad,lantern railroad,evidence,labeled MOM,maybe
79,evidence_mask_hockey,mask hockey,evidence,full of coins,maybe
79,evidence_matchbook_collection,matchbook collection,evidence,smelling of smoke,maybe
79,evidence_novelty_glasses,novelty glasses,evidence,with a note,yes
79,evidence_rune_stones,rune stones,evidence,with a dead battery,maybe
79,evidence_safe_dial_practice,safe dial practice,evidence,full of sand,maybe
79,evidence_scout_sash,scout sash,evidence,with mouse droppings,maybe
79,evidence_sextant,sextant,evidence,labeled DO NOT SELL,maybe
79,evidence_snake_hook,snake hook,evidence,in a trash bag,maybe
79,evidence_soaker_hose,soaker hose,evidence,with instructions missing page 2,maybe
79,evidence_spinner_fidget_giant,spinner fidget giant,evidence,taped shut,maybe
79,evidence_tanning_lamp,tanning lamp,evidence,won at carnival,yes
79,evidence_trampoline_mini,trampoline mini,evidence,with a note,maybe
79,evidence_tuning_fork,tuning fork,evidence,smelling of smoke,maybe
79,gag_amp_head,amp head,gag,with instructions missing page 2,maybe
79,gag_boar_tusk,boar tusk,gag,with a note,maybe
79,gag_bottle_warmer,bottle warmer,gag,with a note,maybe
79,gag_buddha_fat,buddha fat,gag,wrapped in newspaper,maybe
