keys,ru,en
CARETAKER_DONE_B,"Ладно, чисто. Проваливайте с барахлом.","Fine, it's clear. Beat it with your junk."
NPC_JANITOR_BOSS,Бригадир уборки,Janitor Boss
JANITOR_SIGN,УБОРКА $,CLEANUP $
JANITOR_HINT_START,"[E] Уборка — копейки, но деньги","[E] Cleanup — pennies, but money"
JANITOR_HINT_BUSY,"[E] Отчитаться бригадиру","[E] Report to the boss"
JANITOR_HINT_RICH,"Уборка — для нищих. У вас больше $%d.","Cleanup's for the broke. You've got over $%d."
JANITOR_OFFER,"Эй, банкроты! Есть работа: чужую ячейку вымести. Копейки, но деньги.","Hey, bankrupts! Got a job: sweep out someone's unit. Pennies, but money."
JANITOR_TOO_RICH,"С такими деньгами — на аукцион. Работа для нищих.","With that kind of cash — go bid. This job's for the broke."
JANITOR_BUSY_MODE,"Сначала закончи, что начал.","Finish what you started first."
JANITOR_NO_CELL,"Все ячейки заняты. Приходи позже.","All units are taken. Come back later."
JANITOR_NO_TOOLS,"Метлы нет. Хоть руками выноси.","No broom around. Carry it out by hand at least."
JANITOR_START_A,"Вон та ячейка. Хлам — наружу, что можно — отмыть, пол подмести. Три минуты.","That unit there. Junk out, wash what you can, sweep the floor. Three minutes."
JANITOR_START_B,"Тряпка, метла, руки. Доллар за вещь, два за чистую, десятка за пол. Пошли!","Rag, broom, hands. A buck per item, two if it's clean, ten for the floor. Go!"
JANITOR_SHOUT_A,"Быстрее! Я за простой не плачу!","Faster! I don't pay for standing around!"
JANITOR_SHOUT_B,"Тряпку мочи, сухой только пыль гоняешь!","Wet the rag, dry one just pushes dust around!"
JANITOR_SHOUT_C,"Пол! Пол тоже надо! Метлой, не ногами!","The floor! The floor too! With the broom, not your feet!"
JANITOR_TIME_60,"Минута! Кто не успел — тому не заплатят!","One minute! Slowpokes don't get paid!"
JANITOR_TIME_30,"Полминуты! Что осталось — сам вынесу и вычту!","Half a minute! What's left I'll carry out myself and dock you!"
JANITOR_TIME_10,"Десять секунд! Хватит!","Ten seconds! Enough!"
JANITOR_NOT_DONE,"Там ещё %d штук валяется. Это не уборка.","There's still %d pieces lying there. That's not cleanup."
JANITOR_NOT_YET,"Ещё %d вещей в ячейке.","Still %d items in the unit."
JANITOR_DONE_A,"Сойдёт. Вот ваши копейки. Не пропейте.","Good enough. Here's your pennies. Don't drink them away."
JANITOR_DONE_B,"Ну, хоть чем-то полезны. Держите.","Well, you're useful for something. Take it."
JANITOR_DONE_TIMEOUT,"Время. Плачу за то, что сделали. Остальное не считается.","Time. I pay for what's done. The rest doesn't count."
JANITOR_TOAST_START,"Уборка: вынести хлам ($1/шт), отмыть ($2/шт), подмести пол (+$10). 3 минуты.","Cleanup: carry junk out ($1 each), wash it ($2 each), sweep the floor (+$10). 3 minutes."
JANITOR_PAID,"Уборка: +$%d в котёл","Cleanup: +$%d to the pot"
JANITOR_TIMEOUT,"Время вышло. За сделанное: +$%d","Time's up. For what got done: +$%d"
JANITOR_FLOOR_BONUS,"Пол чистый: +$%d","Floor clean: +$%d"
