keys,ru,en
TRL_1,"Пародия про аукционы складов. Вдвоём орать громче.","A storage-auction parody. Yelling is louder with a friend."
TRL_2_T,СТАВЬ ВЕСЛО,RAISE THE PADDLE
TRL_2,"Восемь хантеров. Все блефуют. Лысый — особенно.","Eight hunters. All bluffing. Especially the bald one."
TRL_3_T,РОЙ РУКАМИ,DIG WITH YOUR HANDS
TRL_3,"Без сетки инвентаря. Без сканера. Таймер тикает.","No inventory grid. No scanner. The clock is ticking."
TRL_4,"Осколки — доллар. Скотч — плюс двадцать.","Shards sell for a dollar. Tape adds twenty."
TRL_5_T,"ПРОЛЕЙ. ПОДОЖГИ.","SPILL IT. LIGHT IT."
TRL_5,"Бензин, виски, краска. Пожарные приедут. Когда-нибудь.","Gasoline, whiskey, paint. Firefighters will come. Eventually."
TRL_6_T,КУЗОВ — НЕ ТЕТРИС,THE BED IS NOT TETRIS
TRL_6,"Всё, что не привязано, улетит на первой кочке.","Anything not tied down leaves at the first bump."
TRL_7_T,ТОРГУЙСЯ,HAGGLE
TRL_7,"Скупщик купит всё. Спор — только о цене.","The vendor buys anything. The only argument is the price."
TRL_8_T,ПРОИГРАЙ ВСЁ,LOSE IT ALL
TRL_8,"Казино нечестное. Котёл общий. Друзья смотрят.","The casino is rigged. The pot is shared. Your friends are watching."
TRL_9_T,БЕГИ,RUN
TRL_9,"Штраф, участок, комната улик. Взятка — купюрой в руку.","Fine, station, evidence room. Bribes are paid cash-in-hand."
TRL_10_T,СОЛО И КООП 1–4,SOLO AND CO-OP 1–4
TRL_10,"Копите на дом. Или не копите. Город никуда не уедет.","Save up for the house. Or don't. The city isn't going anywhere."
TRL_END,"Godot 4.6 • RU / EN • Steam","Godot 4.6 • RU / EN • Steam"
HUD_OBJECTIVE,ЗАДАЧА,TASK
