keys,ru,en
SET_ACT_THROW,Бросить,Throw
SET_ACT_FLASHLIGHT,Фонарик,Flashlight
SET_ACT_PADDLE,Весло,Paddle
SET_ACT_PIN,Пин,Pin
SET_ACT_VOICE,Голос,Voice
SET_ACT_PAUSE,Пауза,Pause
SET_ACT_ALT_USE,Карман / альт,Pocket / alt use
SET_ACT_ARM_OUT,Рука дальше,Arm out
SET_ACT_ARM_IN,Рука ближе,Arm in
SET_LOADING,грузим барахло…,hauling junk…
SET_LOAD_01,"Ищем вазу, которая ещё не в осколках…","Looking for a vase that isn't shards yet…"
SET_LOAD_02,Клеим скотч на скотч на скотч…,Taping tape onto tape onto tape…
SET_LOAD_03,Лысый хантер уже перебивает…,The bald hunter is already overbidding…
SET_LOAD_04,Котёл не кастрюля. Проверяем…,The pot is not a saucepan. Checking…
SET_LOAD_05,Считаем купюры зубами…,Counting bills with our teeth…
SET_LOAD_06,"Весло криво, ставка ровная…","Paddle is crooked, bid is straight…"
SET_LOAD_07,Пыль не оттирается. Ещё раз…,Dust won't come off. Once more…
SET_LOAD_08,Хомяк в сумке. Не трясти…,Hamster in the bag. Do not shake…
SET_LOAD_09,"Грузим комод вдвоём, в соло…","Loading a dresser as a team, solo…"
SET_LOAD_10,Менты уже выехали. Или нет…,Cops are already rolling. Or not…
SET_LOAD_11,Скупщик орёт. Это нормально…,The vendor is yelling. That's normal…
SET_LOAD_12,Ищем ключ от сейфа в сейфе…,Looking for the safe key inside the safe…
SET_LOAD_13,Краска на друге сохнет…,Paint on your buddy is drying…
SET_LOAD_14,Тачка на кочках. Держи вазу…,Car on bumps. Hold the vase…
SET_LOAD_15,Казино честное. Ха. Грузим…,The casino is fair. Ha. Loading…
SET_LOAD_16,Фонарик в тёмном гараже…,Flashlight in a dark garage…
SET_LOAD_17,Снимаем купюры с котла…,Pulling bills out of the pot…
SET_LOAD_18,Смотритель орёт про метлу…,Caretaker is yelling about the broom…
SET_LOAD_19,Единорог влезает в кузов…,The unicorn is climbing into the truck…
SET_LOAD_20,Ещё секунда и можно орать…,One more second and you can scream…
SET_ACT_SHOUT,Орать,Shout
